Temps;A - B
(ms);(V)

-2,46312486;0,03646946
-2,46056486;-0,00839281
-2,45800486;0,03723240
-2,45544486;-0,00747728
-2,45288486;0,03830051
-2,45032486;-0,00656176
-2,44776486;-0,00656176
-2,44520486;-0,00564623
-2,44264486;-0,00656176
-2,44008486;-0,00656176
-2,43752486;-0,00747728
-2,43496486;-0,00747728
-2,43240486;-0,00839281
-2,42984486;-0,00839281
-2,42728486;-0,00930834
-2,42472486;-0,00930834
-2,42216486;-0,01007080
-2,41960486;-0,01007080
-2,41704486;0,03479147
-2,41448486;-0,01098633
-2,41192486;-0,01098633
-2,40936486;0,03387594
-2,40680486;-0,01190186
-2,40424486;-0,01266527
-2,40168486;0,03219700
-2,39912486;0,03219700
-2,39656486;-0,01358080
-2,39400486;-0,01358080
-2,39144486;-0,01449633
-2,38888486;-0,01449633
-2,38632486;0,03036594
-2,38376486;-0,01525927
-2,38120486;0,02960300
-2,37864486;0,02868748
-2,37608486;0,02868748
-2,37352486;-0,01693773
-2,37096486;0,02792454
-2,36840486;-0,01785326
-2,36584486;-0,01785326
-2,36328486;-0,01876879
-2,36072486;-0,01876879
-2,35816486;0,02609301
