Temps;Canal A;Canal B;Veb;Vec
(ms);(V);(V);(V);(V)

0,20294531;1,96246200;0,00128178;0,46246220;0,46246220
0,20806531;1,96246200;0,00128178;0,46246220;0,46246220
0,21318531;1,96246200;0,00128178;0,46246220;0,46246220
0,21830531;1,96246200;0,00128178;0,48083440;0,48083440
0,22342531;1,98083400;-0,01672414;0,46246220;0,46246220
0,22854531;1,96246200;0,00128178;0,46246220;0,46246220
0,23366531;1,96246200;0,00128178;0,46246220;0,46246220
0,23878531;1,96246200;0,00128178;0,46246220;0,46246220
0,24390531;1,96246200;0,00128178;0,46246220;0,46246220
0,24902531;1,96246200;0,00128178;0,46246220;0,46246220
0,25414531;1,96246200;0,00128178;0,46246220;0,46246220
0,25926530;1,96246200;0,00128178;0,46246220;0,46246220
0,26438530;1,96246200;0,00128178;0,46246220;0,46246220
0,26950530;1,96246200;0,00128178;0,46246220;0,46246220
0,27462530;1,96246200;0,00128178;0,46246220;0,46246220
0,27974530;1,96246200;0,00128178;0,46246220;0,46246220
0,28486530;1,96246200;-0,01672414;0,46246220;0,46246220
0,28998530;1,96246200;0,00128178;0,46246220;0,46246220
0,29510530;1,96246200;0,00128178;0,46246220;0,46246220
0,30022530;1,96246200;-0,01672414;0,46246220;0,46246220
0,30534530;1,96246200;0,00128178;0,46246220;0,46246220
0,31046530;1,96246200;0,00128178;0,46246220;0,46246220
0,31558530;1,96246200;0,00128178;0,46246220;0,46246220
0,32070530;1,96246200;0,00128178;0,46246220;0,46246220
0,32582530;1,96246200;-0,01672414;0,46246220;0,46246220
0,33094530;1,96246200;0,00128178;0,46246220;0,46246220
0,33606530;1,96246200;0,00128178;0,46246220;0,46246220
0,34118530;1,96246200;-0,01672414;0,46246220;0,46246220
0,34630530;1,96246200;0,00128178;0,46246220;0,46246220
0,35142530;1,96246200;0,00128178;0,46246220;0,46246220
0,35654530;1,96246200;0,00128178;0,46246220;0,46246220
0,36166530;1,96246200;0,00128178;0,46246220;0,46246220
0,36678530;1,96246200;0,00128178;0,46246220;0,46246220
0,37190530;1,96246200;0,00128178;0,46246220;0,46246220
0,37702530;1,96246200;0,00128178;0,46246220;0,46246220
0,38214530;1,96246200;0,00128178;0,46246220;0,46246220
0,38726530;1,96246200;0,00128178;0,46246220;0,46246220
0,39238530;1,96246200;0,00128178;0,46246220;0,46246220
0,39750530;1,96246200;0,00128178;0,46246220;0,46246220
0,40262530;1,96246200;0,00128178;0,46246220;0,46246220
0,40774530;1,96246200;0,00128178;0,46246220;0,46246220
0,41286530;1,96246200;0,00128178;0,46246220;0,46246220
0,41798530;1,96246200;0,00128178;0,46246220;0,46246220
0,42310530;1,96246200;0,00128178;0,46246220;0,46246220
0,42822530;1,96246200;0,00128178;0,46246220;0,46246220
0,43334530;1,96246200;0,00128178;0,44409010;0,44409010
0,43846530;1,94409000;0,00128178;0,46246220;0,46246220
0,44358530;1,96246200;0,00128178;0,46246220;0,46246220
0,44870530;1,96246200;0,00128178;0,46246220;0,46246220
0,45382530;1,96246200;0,00128178;0,46246220;0,46246220
0,45894530;1,96246200;0,00128178;0,44409010;0,44409010
0,46406530;1,94409000;0,00128178;0,46246220;0,46246220
0,46918530;1,96246200;0,00128178;0,46246220;0,46246220
0,47430530;1,96246200;0,00128178;0,46246220;0,46246220
0,47942530;1,96246200;0,00128178;0,46246220;0,46246220
0,48454530;1,96246200;0,00128178;0,46246220;0,46246220
0,48966530;1,96246200;0,00128178;0,46246220;0,46246220
0,49478530;1,96246200;-0,01672414;0,46246220;0,46246220
0,49990530;1,96246200;0,00128178;-0,65829950;-0,65829950
0,50502530;0,84170050;0,27216410;-0,65829950;-0,65829950
0,51014530;0,84170050;0,27216410;-0,65829950;-0,65829950
0,51526530;0,84170050;0,27216410;-0,65829950;-0,65829950
0,52038530;0,84170050;0,27216410;-0,65829950;-0,65829950
0,52550530;0,84170050;0,27216410;-0,65829950;-0,65829950
0,53062530;0,84170050;0,27216410;-0,65829950;-0,65829950
0,53574530;0,84170050;0,27216410;-0,65829950;-0,65829950
0,54086530;0,84170050;0,27216410;-0,65829950;-0,65829950
0,54598530;0,84170050;0,27216410;-0,65829950;-0,65829950
0,55110530;0,84170050;0,27216410;-0,65829950;-0,65829950
0,55622530;0,84170050;0,27216410;-0,65829950;-0,65829950
0,56134530;0,84170050;0,27216410;-0,67667160;-0,67667160
0,56646530;0,82332840;0,27216410;-0,65829950;-0,65829950
0,57158530;0,84170050;0,27216410;-0,65829950;-0,65829950
0,57670530;0,84170050;0,27216410;-0,65829950;-0,65829950
0,58182530;0,84170050;0,29023100;-0,67667160;-0,67667160
0,58694530;0,82332840;0,27216410;-0,65829950;-0,65829950
0,59206530;0,84170050;0,27216410;-0,65829950;-0,65829950
0,59718530;0,84170050;0,27216410;-0,65829950;-0,65829950
0,60230530;0,84170050;0,27216410;-0,65829950;-0,65829950
0,60742530;0,84170050;0,29023100;-0,65829950;-0,65829950
0,61254530;0,84170050;0,27216410;-0,65829950;-0,65829950
0,61766530;0,84170050;0,27216410;-0,65829950;-0,65829950
0,62278530;0,84170050;0,27216410;-0,65829950;-0,65829950
0,62790530;0,84170050;0,27216410;-0,65829950;-0,65829950
0,63302530;0,84170050;0,27216410;-0,65829950;-0,65829950
0,63814530;0,84170050;0,27216410;-0,65829950;-0,65829950
0,64326530;0,84170050;0,27216410;-0,65829950;-0,65829950
0,64838530;0,84170050;0,29023100;-0,65829950;-0,65829950
0,65350530;0,84170050;0,27216410;-0,65829950;-0,65829950
0,65862530;0,84170050;0,27216410;-0,65829950;-0,65829950
0,66374530;0,84170050;0,27216410;-0,65829950;-0,65829950
0,66886530;0,84170050;0,27216410;-0,65829950;-0,65829950
0,67398530;0,84170050;0,27216410;-0,65829950;-0,65829950
0,67910530;0,84170050;0,29023100;-0,65829950;-0,65829950
0,68422530;0,84170050;0,27216410;-0,65829950;-0,65829950
0,68934530;0,84170050;0,27216410;-0,65829950;-0,65829950
0,69446530;0,84170050;0,29023100;-0,65829950;-0,65829950
0,69958530;0,84170050;0,27216410;-0,65829950;-0,65829950
0,70470530;0,84170050;0,27216410;-0,65829950;-0,65829950
0,70982530;0,84170050;0,27216410;-0,65829950;-0,65829950
0,71494530;0,84170050;0,27216410;-0,65829950;-0,65829950
0,72006530;0,84170050;0,27216410;-0,67667160;-0,67667160
0,72518530;0,82332840;0,27216410;-0,67667160;-0,67667160
0,73030530;0,82332840;0,27216410;-0,65829950;-0,65829950
0,73542530;0,84170050;0,27216410;-0,65829950;-0,65829950
0,74054530;0,84170050;0,29023100;-0,65829950;-0,65829950
0,74566530;0,84170050;0,27216410;-0,65829950;-0,65829950
0,75078530;0,84170050;0,27216410;-0,67667160;-0,67667160
0,75590530;0,82332840;0,27216410;-0,65829950;-0,65829950
0,76102530;0,84170050;0,27216410;-0,65829950;-0,65829950
0,76614530;0,84170050;0,29023100;-0,65829950;-0,65829950
0,77126530;0,84170050;0,29023100;-0,65829950;-0,65829950
0,77638530;0,84170050;0,27216410;-0,65829950;-0,65829950
0,78150530;0,84170050;0,27216410;-0,65829950;-0,65829950
0,78662530;0,84170050;0,27216410;-0,67667160;-0,67667160
0,79174530;0,82332840;0,29023100;-0,67667160;-0,67667160
0,79686530;0,82332840;0,27216410;-0,65829950;-0,65829950
0,80198530;0,84170050;0,27216410;-0,65829950;-0,65829950
0,80710530;0,84170050;0,29023100;-0,65829950;-0,65829950
0,81222530;0,84170050;0,29023100;-0,65829950;-0,65829950
0,81734530;0,84170050;0,29023100;-0,65829950;-0,65829950
0,82246530;0,84170050;0,27216410;-0,65829950;-0,65829950
0,82758530;0,84170050;0,27216410;-0,65829950;-0,65829950
0,83270530;0,84170050;0,27216410;-0,65829950;-0,65829950
0,83782530;0,84170050;0,27216410;-0,65829950;-0,65829950
0,84294530;0,84170050;0,27216410;-0,65829950;-0,65829950
0,84806530;0,84170050;0,27216410;-0,65829950;-0,65829950
0,85318530;0,84170050;0,27216410;-0,65829950;-0,65829950
